Year,Reporter,USD_per_ton
2015,India,308.1882291896099
2015,Türkiye,539.7683019353391
2016,India,329.2476189648842
2016,Türkiye,639.432222488144
2017,India,334.720582193778
2017,Türkiye,585.9850369043345
2018,India,376.5559183935972
2018,Türkiye,353.27423086694995
2019,India,418.24094681046745
2019,Türkiye,395.44330493503315
2020,India,355.737836416688
2020,Türkiye,350.63486530856784
2021,India,353.2547375080703
2021,Türkiye,1004.9572638614012
2022,India,355.62296637278166
2022,Türkiye,826.6301652636521
2023,India,526.0285418692785
2023,Türkiye,1059.9265829503902
